Orthogroup	Ogataea_pini	Ambrosiozyma_monospora
OG0000000	Ogataea_pini_1	Ambrosiozyma_monospora_1
OG0000001	Ogataea_pini_2	Ambrosiozyma_monospora_2
OG0000002	Ogataea_pini_3	Ambrosiozyma_monospora_3
