Orthogroup	Ambrosiozyma_philentoma	Ogataea_pini
OG0000000	Ambrosiozyma_philentoma_1	Ogataea_pini_1
OG0000001	Ambrosiozyma_philentoma_2	Ogataea_pini_2
OG0000002	Ambrosiozyma_philentoma_3	Ogataea_pini_3
