Orthogroup	Ambrosiozyma_philentoma	Ambrosiozyma_ambrosiae
OG0000000	Ambrosiozyma_philentoma_1	Ambrosiozyma_ambrosiae_1
OG0000001	Ambrosiozyma_philentoma_2	Ambrosiozyma_ambrosiae_2
OG0000002	Ambrosiozyma_philentoma_3	Ambrosiozyma_ambrosiae_3
