Orthogroup	Wickerhamiella_versatilis	Komagataella_populi
OG0000000	Wickerhamiella_versatilis_1	Komagataella_populi_1
OG0000001	Wickerhamiella_versatilis_2	Komagataella_populi_2
OG0000002	Wickerhamiella_versatilis_3	Komagataella_populi_3
