Orthogroup	Pichia_terricola	Kregervanrija_delftensis
OG0000000	Pichia_terricola_1	Kregervanrija_delftensis_1
OG0000001	Pichia_terricola_2	Kregervanrija_delftensis_2
OG0000002	Pichia_terricola_3	Kregervanrija_delftensis_3
