Orthogroup	Brettanomyces_anomalus	Pichia_membranifaciens
OG0000000	Brettanomyces_anomalus_1	Pichia_membranifaciens_1
OG0000001	Brettanomyces_anomalus_2	Pichia_membranifaciens_2
OG0000002	Brettanomyces_anomalus_3	Pichia_membranifaciens_3
