Orthogroup	Ambrosiozyma_ambrosiae	Ambrosiozyma_monospora	Ambrosiozyma_oregonensis	Ambrosiozyma_philentoma	Ambrosiozyma_vanderkliftii	Brettanomyces_anomalus	Brettanomyces_custersianus	Brewery_genome	Komagataella_pastoris	Komagataella_populi	Kregervanrija_delftensis	Kregervanrija_fluxuum	Ogataea_henricii	Ogataea_pini	Ogataea_polymorpha	Pichia_membranifaciens	Pichia_terricola	Starmerella_apicola	Starmerella_bombicola	Wickerhamiella_versatilis
OG0000000	Ambrosiozyma_ambrosiae_1	Ambrosiozyma_monospora_1	Ambrosiozyma_oregonensis_1	Ambrosiozyma_philentoma_1	Ambrosiozyma_vanderkliftii_1	Brettanomyces_anomalus_1	Brettanomyces_custersianus_1	Brewery_genome_1	Komagataella_pastoris_1	Komagataella_populi_1	Kregervanrija_delftensis_1	Kregervanrija_fluxuum_1	Ogataea_henricii_1	Ogataea_pini_1	Ogataea_polymorpha_1	Pichia_membranifaciens_1	Pichia_terricola_1	Starmerella_apicola_1	Starmerella_bombicola_1	Wickerhamiella_versatilis_1
OG0000001	Ambrosiozyma_ambrosiae_2	Ambrosiozyma_monospora_2	Ambrosiozyma_oregonensis_2	Ambrosiozyma_philentoma_2	Ambrosiozyma_vanderkliftii_2	Brettanomyces_anomalus_2	Brettanomyces_custersianus_2	Brewery_genome_2	Komagataella_pastoris_2	Komagataella_populi_2	Kregervanrija_delftensis_2	Kregervanrija_fluxuum_2	Ogataea_henricii_2	Ogataea_pini_2	Ogataea_polymorpha_2	Pichia_membranifaciens_2	Pichia_terricola_2	Starmerella_apicola_2	Starmerella_bombicola_2	Wickerhamiella_versatilis_2
OG0000002	Ambrosiozyma_ambrosiae_3	Ambrosiozyma_monospora_3	Ambrosiozyma_oregonensis_3	Ambrosiozyma_philentoma_3	Ambrosiozyma_vanderkliftii_3	Brettanomyces_anomalus_3	Brettanomyces_custersianus_3	Brewery_genome_3	Komagataella_pastoris_3	Komagataella_populi_3	Kregervanrija_delftensis_3	Kregervanrija_fluxuum_3	Ogataea_henricii_3	Ogataea_pini_3	Ogataea_polymorpha_3	Pichia_membranifaciens_3	Pichia_terricola_3	Starmerella_apicola_3	Starmerella_bombicola_3	Wickerhamiella_versatilis_3
