Orthogroup	Brettanomyces_custersianus	Ogataea_polymorpha
OG0000000	Brettanomyces_custersianus_1	Ogataea_polymorpha_1
OG0000001	Brettanomyces_custersianus_2	Ogataea_polymorpha_2
OG0000002	Brettanomyces_custersianus_3	Ogataea_polymorpha_3
