Orthogroup	Ambrosiozyma_oregonensis	Ambrosiozyma_ambrosiae
OG0000000	Ambrosiozyma_oregonensis_1	Ambrosiozyma_ambrosiae_1
OG0000001	Ambrosiozyma_oregonensis_2	Ambrosiozyma_ambrosiae_2
OG0000002	Ambrosiozyma_oregonensis_3	Ambrosiozyma_ambrosiae_3
