Orthogroup	Starmerella_apicola	Ambrosiozyma_oregonensis
OG0000000	Starmerella_apicola_1	Ambrosiozyma_oregonensis_1
OG0000001	Starmerella_apicola_2	Ambrosiozyma_oregonensis_2
OG0000002	Starmerella_apicola_3	Ambrosiozyma_oregonensis_3
