Orthogroup	Kregervanrija_delftensis	Ambrosiozyma_philentoma
OG0000000	Kregervanrija_delftensis_1	Ambrosiozyma_philentoma_1
OG0000001	Kregervanrija_delftensis_2	Ambrosiozyma_philentoma_2
OG0000002	Kregervanrija_delftensis_3	Ambrosiozyma_philentoma_3
