Orthogroup	Ambrosiozyma_philentoma	Wickerhamiella_versatilis
OG0000000	Ambrosiozyma_philentoma_1	Wickerhamiella_versatilis_1
OG0000001	Ambrosiozyma_philentoma_2	Wickerhamiella_versatilis_2
OG0000002	Ambrosiozyma_philentoma_3	Wickerhamiella_versatilis_3
