Orthogroup	Kregervanrija_delftensis	Starmerella_apicola
OG0000000	Kregervanrija_delftensis_1	Starmerella_apicola_1
OG0000001	Kregervanrija_delftensis_2	Starmerella_apicola_2
OG0000002	Kregervanrija_delftensis_3	Starmerella_apicola_3
