Orthogroup	Ambrosiozyma_oregonensis	Starmerella_bombicola
OG0000000	Ambrosiozyma_oregonensis_1	Starmerella_bombicola_1
OG0000001	Ambrosiozyma_oregonensis_2	Starmerella_bombicola_2
OG0000002	Ambrosiozyma_oregonensis_3	Starmerella_bombicola_3
