Orthogroup	Ambrosiozyma_ambrosiae	Ambrosiozyma_vanderkliftii
OG0000000	Ambrosiozyma_ambrosiae_1	Ambrosiozyma_vanderkliftii_1
OG0000001	Ambrosiozyma_ambrosiae_2	Ambrosiozyma_vanderkliftii_2
OG0000002	Ambrosiozyma_ambrosiae_3	Ambrosiozyma_vanderkliftii_3
