Orthogroup	Brettanomyces_custersianus	Wickerhamiella_versatilis
OG0000000	Brettanomyces_custersianus_1	Wickerhamiella_versatilis_1
OG0000001	Brettanomyces_custersianus_2	Wickerhamiella_versatilis_2
OG0000002	Brettanomyces_custersianus_3	Wickerhamiella_versatilis_3
