Orthogroup	Kregervanrija_fluxuum	Pichia_membranifaciens
OG0000000	Kregervanrija_fluxuum_1	Pichia_membranifaciens_1
OG0000001	Kregervanrija_fluxuum_2	Pichia_membranifaciens_2
OG0000002	Kregervanrija_fluxuum_3	Pichia_membranifaciens_3
