Orthogroup	Kregervanrija_fluxuum	Ambrosiozyma_vanderkliftii
OG0000000	Kregervanrija_fluxuum_1	Ambrosiozyma_vanderkliftii_1
OG0000001	Kregervanrija_fluxuum_2	Ambrosiozyma_vanderkliftii_2
OG0000002	Kregervanrija_fluxuum_3	Ambrosiozyma_vanderkliftii_3
