Orthogroup	Kregervanrija_fluxuum	Starmerella_bombicola
OG0000000	Kregervanrija_fluxuum_1	Starmerella_bombicola_1
OG0000001	Kregervanrija_fluxuum_2	Starmerella_bombicola_2
OG0000002	Kregervanrija_fluxuum_3	Starmerella_bombicola_3
