Orthogroup	Brewery_genome	Starmerella_apicola
OG0000000	Brewery_genome_1	Starmerella_apicola_1
OG0000001	Brewery_genome_2	Starmerella_apicola_2
OG0000002	Brewery_genome_3	Starmerella_apicola_3
