Orthogroup	Ambrosiozyma_oregonensis	Ambrosiozyma_monospora
OG0000000	Ambrosiozyma_oregonensis_1	Ambrosiozyma_monospora_1
OG0000001	Ambrosiozyma_oregonensis_2	Ambrosiozyma_monospora_2
OG0000002	Ambrosiozyma_oregonensis_3	Ambrosiozyma_monospora_3
