PENCH_0029_04302	ASPCL_0033_00613
PENCH_0030_05647	ASPCL_0081_04074
PENCH_0028_00567	ASPCL_0078_02546
PENCH_0038_11391	ASPCL_0033_00357
PENCH_0032_07004	ASPCL_0088_08098
PENCH_0037_10130	ASPCL_0083_04791
PENCH_0028_02751	ASPCL_0088_08158
PENCH_0038_11999	ASPCL_0074_01251
PENCH_0032_07088	ASPCL_0083_04863
PENCH_0028_01531	ASPCL_0083_04976
PENCH_0028_00549	ASPCL_0089_08960
PENCH_0038_11137	ASPCL_0019_00203
PENCH_0037_09759	ASPCL_0085_06231
PENCH_0029_03742	ASPCL_0078_02767
PENCH_0028_02103	ASPCL_0079_03237
PENCH_0038_11984	ASPCL_0074_01169
PENCH_0029_03849	ASPCL_0078_02544
PENCH_0030_05329	ASPCL_0080_03526
PENCH_0037_10489	ASPCL_0088_07266
PENCH_0037_10647	ASPCL_0088_07326
PENCH_0038_12201	ASPCL_0077_02031
PENCH_0038_12357	ASPCL_0085_05783
PENCH_0030_05572	ASPCL_0085_05712
PENCH_0028_01650	ASPCL_0033_00404
PENCH_0029_04650	ASPCL_0078_02258
PENCH_0029_04275	ASPCL_0083_05105
PENCH_0038_11849	ASPCL_0081_03776
PENCH_0032_07123	ASPCL_0081_03914
PENCH_0028_02096	ASPCL_0083_04682
PENCH_0044_12680	ASPCL_0088_06998
PENCH_0037_10646	ASPCL_0088_07325
PENCH_0028_00607	ASPCL_0089_08995
PENCH_0030_06216	ASPCL_0019_00160
PENCH_0030_05923	ASPCL_0085_05461
PENCH_0032_06960	ASPCL_0088_07905
PENCH_0034_07687	ASPCL_0088_07634
PENCH_0038_11307	ASPCL_0087_06430
PENCH_0028_01500	ASPCL_0083_04937
PENCH_0037_09829	ASPCL_0089_08365
PENCH_0029_05116	ASPCL_0088_06937
PENCH_0034_07744	ASPCL_0088_07606
PENCH_0029_03812	ASPCL_0080_03406
PENCH_0037_09520	ASPCL_0088_07852
PENCH_0029_04700	ASPCL_0033_00490
PENCH_0029_05150	ASPCL_0088_06893
PENCH_0037_10769	ASPCL_0085_06116
PENCH_0030_05450	ASPCL_0085_05521
PENCH_0037_10758	ASPCL_0085_06105
PENCH_0038_12273	ASPCL_0077_01958
PENCH_0028_01120	ASPCL_0078_02515
PENCH_0029_04362	ASPCL_0033_00559
PENCH_0038_12258	ASPCL_0077_01989
PENCH_0036_09280	ASPCL_0074_01073
PENCH_0028_02132	ASPCL_0083_04700
PENCH_0029_04338	ASPCL_0033_00581
PENCH_0030_05878	ASPCL_0085_05649
PENCH_0029_03766	ASPCL_0080_03382
PENCH_0037_09801	ASPCL_0089_08379
PENCH_0028_02421	ASPCL_0088_08185
PENCH_0034_08807	ASPCL_0088_07111
PENCH_0032_07234	ASPCL_0081_03871
PENCH_0037_10279	ASPCL_0085_05924
PENCH_0034_07726	ASPCL_0088_07610
PENCH_0037_09808	ASPCL_0082_04463
PENCH_0029_03002	ASPCL_0079_03194
PENCH_0029_04230	ASPCL_0082_04396
PENCH_0028_01017	ASPCL_0083_05046
PENCH_0034_08434	ASPCL_0089_08463
PENCH_0028_02597	ASPCL_0087_06676
PENCH_0038_11045	ASPCL_0074_01219
PENCH_0029_03083	ASPCL_0074_01463
PENCH_0038_10996	ASPCL_0074_01199
PENCH_0029_03761	ASPCL_0080_03387
PENCH_0029_04345	ASPCL_0033_00575
PENCH_0028_01069	ASPCL_0083_05017
PENCH_0029_04189	ASPCL_0089_08834
PENCH_0028_02068	ASPCL_0083_04658
PENCH_0029_03982	ASPCL_0078_02599
PENCH_0029_02987	ASPCL_0078_02385
PENCH_0029_03865	ASPCL_0089_09108
PENCH_0030_06531	ASPCL_0074_01025
PENCH_0034_08677	ASPCL_0088_07121
PENCH_0029_03405	ASPCL_0019_00088
PENCH_0032_07328	ASPCL_0089_08531
PENCH_0037_10554	ASPCL_0088_07254
PENCH_0037_10545	ASPCL_0088_07246
PENCH_0029_04138	ASPCL_0082_04347
PENCH_0030_05358	ASPCL_0080_03501
PENCH_0028_01275	ASPCL_0081_03731
PENCH_0028_01150	ASPCL_0089_08607
PENCH_0028_01511	ASPCL_0083_04948
PENCH_0029_03253	ASPCL_0078_02820
PENCH_0037_09719	ASPCL_0089_08441
PENCH_0037_09977	ASPCL_0077_01896
PENCH_0028_00828	ASPCL_0089_08939
PENCH_0038_11997	ASPCL_0074_01339
PENCH_0037_09788	ASPCL_0089_08390
PENCH_0028_01053	ASPCL_0083_05032
PENCH_0028_01438	ASPCL_0088_07738
PENCH_0034_08606	ASPCL_0088_07178
PENCH_0034_08241	ASPCL_0088_08052
PENCH_0038_10990	ASPCL_0082_04483
PENCH_0028_01829	ASPCL_0078_02464
PENCH_0028_02466	ASPCL_0088_08239
PENCH_0029_03841	ASPCL_0078_02498
PENCH_0032_07100	ASPCL_0083_04874
PENCH_0032_07033	ASPCL_0083_04830
PENCH_0036_09314	ASPCL_0081_03675
PENCH_0028_01211	ASPCL_0074_00795
PENCH_0037_10363	ASPCL_0085_05855
PENCH_0028_00968	ASPCL_0019_00216
PENCH_0029_04485	ASPCL_0033_00476
PENCH_0029_03817	ASPCL_0080_03410
PENCH_0034_08520	ASPCL_0079_03186
PENCH_0030_05252	ASPCL_0078_02095
PENCH_0030_06016	ASPCL_0085_05357
PENCH_0029_04803	ASPCL_0089_08776
PENCH_0034_08777	ASPCL_0088_07092
PENCH_0038_11568	ASPCL_0085_06232
PENCH_0037_09871	ASPCL_0089_08339
PENCH_0028_02674	ASPCL_0087_06716
PENCH_0029_03693	ASPCL_0078_02787
PENCH_0037_09712	ASPCL_0089_08446
PENCH_0029_05149	ASPCL_0088_06894
