Orthogroup	Ambrosiozyma_ambrosiae	Starmerella_apicola
OG0000000	Ambrosiozyma_ambrosiae_1	Starmerella_apicola_1
OG0000001	Ambrosiozyma_ambrosiae_2	Starmerella_apicola_2
OG0000002	Ambrosiozyma_ambrosiae_3	Starmerella_apicola_3
