Orthogroup	Wickerhamiella_versatilis	Brettanomyces_custersianus
OG0000000	Wickerhamiella_versatilis_1	Brettanomyces_custersianus_1
OG0000001	Wickerhamiella_versatilis_2	Brettanomyces_custersianus_2
OG0000002	Wickerhamiella_versatilis_3	Brettanomyces_custersianus_3
