Orthogroup	Starmerella_bombicola	Ambrosiozyma_philentoma
OG0000000	Starmerella_bombicola_1	Ambrosiozyma_philentoma_1
OG0000001	Starmerella_bombicola_2	Ambrosiozyma_philentoma_2
OG0000002	Starmerella_bombicola_3	Ambrosiozyma_philentoma_3
