Orthogroup	Wickerhamiella_versatilis	Starmerella_apicola
OG0000000	Wickerhamiella_versatilis_1	Starmerella_apicola_1
OG0000001	Wickerhamiella_versatilis_2	Starmerella_apicola_2
OG0000002	Wickerhamiella_versatilis_3	Starmerella_apicola_3
