Orthogroup	Komagataella_populi	Ogataea_polymorpha
OG0000000	Komagataella_populi_1	Ogataea_polymorpha_1
OG0000001	Komagataella_populi_2	Ogataea_polymorpha_2
OG0000002	Komagataella_populi_3	Ogataea_polymorpha_3
