Orthogroup	Kregervanrija_fluxuum	Brettanomyces_anomalus
OG0000000	Kregervanrija_fluxuum_1	Brettanomyces_anomalus_1
OG0000001	Kregervanrija_fluxuum_2	Brettanomyces_anomalus_2
OG0000002	Kregervanrija_fluxuum_3	Brettanomyces_anomalus_3
