Orthogroup	Brettanomyces_custersianus	Komagataella_pastoris
OG0000000	Brettanomyces_custersianus_1	Komagataella_pastoris_1
OG0000001	Brettanomyces_custersianus_2	Komagataella_pastoris_2
OG0000002	Brettanomyces_custersianus_3	Komagataella_pastoris_3
