Orthogroup	Wickerhamiella_versatilis	Komagataella_pastoris
OG0000000	Wickerhamiella_versatilis_1	Komagataella_pastoris_1
OG0000001	Wickerhamiella_versatilis_2	Komagataella_pastoris_2
OG0000002	Wickerhamiella_versatilis_3	Komagataella_pastoris_3
