Orthogroup	Ogataea_polymorpha	Ambrosiozyma_vanderkliftii
OG0000000	Ogataea_polymorpha_1	Ambrosiozyma_vanderkliftii_1
OG0000001	Ogataea_polymorpha_2	Ambrosiozyma_vanderkliftii_2
OG0000002	Ogataea_polymorpha_3	Ambrosiozyma_vanderkliftii_3
