Orthogroup	Ambrosiozyma_monospora	Kregervanrija_delftensis
OG0000000	Ambrosiozyma_monospora_1	Kregervanrija_delftensis_1
OG0000001	Ambrosiozyma_monospora_2	Kregervanrija_delftensis_2
OG0000002	Ambrosiozyma_monospora_3	Kregervanrija_delftensis_3
