Orthogroup	Komagataella_populi	Brettanomyces_custersianus
OG0000000	Komagataella_populi_1	Brettanomyces_custersianus_1
OG0000001	Komagataella_populi_2	Brettanomyces_custersianus_2
OG0000002	Komagataella_populi_3	Brettanomyces_custersianus_3
